🀄️ mahjong️
🇹🇨 flag_tc
🇹🇩 flag_td
🇹🇫 flag_tf
🇹🇬 flag_tg
🇹🇭 flag_th
🇹🇯 flag_tj
🇹🇰 flag_tk
🇹🇱 flag_tl
🇹🇲 flag_tm
🇹🇳 flag_tn
🇹🇴 flag_to
🇹🇷 flag_tr
🇹🇹 flag_tt
🇹🇻 flag_tv
🇹🇼 flag_tw
🇹🇿 flag_tz
🇹 regional_indicator_t
🇺🇦 flag_ua
🇺🇬 flag_ug
🇺🇲 flag_um
🇺🇳 united_nations
🇺🇸 flag_us
🇺🇾 flag_uy
🇺🇿 flag_uz
🇺 regional_indicator_u
🇻🇦 flag_va
🇻🇨 flag_vc
🇻🇪 flag_ve
🇻🇬 flag_vg
🇻🇮 flag_vi
🇻🇳 flag_vn
🇻🇺 flag_vu
🇻 regional_indicator_v
🇼🇫 flag_wf
🇼🇸 flag_ws
🇼 regional_indicator_w
🇽🇰 flag_xk
🇽 regional_indicator_x
🇾🇪 flag_ye
🇾🇹 flag_yt
🇾 regional_indicator_y
🇿🇦 flag_za
🇿🇲 flag_zm
🇿🇼 flag_zw
🇿 regional_indicator_z
🈁 koko
🈂️ sa
🈚️ u7121️
🈯️ u6307️
🈲 u7981
🈳 u7a7a
🈴 u5408
🈵 u6e80
🈶 u6709
🈷️ u6708
🈸 u7533
🈹 u5272
🈺 u55b6
🉐 ideograph_advantage
🉑 accept
🌀 cyclone
🌁 foggy
🌂 closed_umbrella
🌃 night_with_stars
🌄 sunrise_over_mountains
🌅 sunrise
🌆 city_dusk
🌇 city_sunset
🌈 rainbow
🌉 bridge_at_night
🌊 ocean
🌋 volcano
🌌 milky_way
🌍 earth_africa
🌎 earth_americas
🌏 earth_asia
🌐 globe_with_meridians
🌑 new_moon
🌒 waxing_crescent_moon
🌓 first_quarter_moon
🌔 waxing_gibbous_moon
🌕 full_moon
🌖 waning_gibbous_moon
🌗 last_quarter_moon
🌘 waning_crescent_moon
🌙 crescent_moon
🌚 new_moon_with_face
🌛 first_quarter_moon_with_face
🌜 last_quarter_moon_with_face
🌝 full_moon_with_face
🌞 sun_with_face
🌟 star2
🌠 stars
🌡️ thermometer
🌤️ white_sun_small_cloud
🌥️ white_sun_cloud
🌦️ white_sun_rain_cloud
🌧️ cloud_rain
🌨️ cloud_snow
🌩️ cloud_lightning
🌪️ cloud_tornado
🌫️ fog
🌬️ wind_blowing_face
🌭 hotdog
🌮 taco
🌯 burrito
🌰 chestnut
🌱 seedling
🌲 evergreen_tree
🌳 deciduous_tree
🌴 palm_tree
🌵 cactus
🌶️ hot_pepper
🌷 tulip
🌸 cherry_blossom
🌹 rose
🌺 hibiscus
🌻 sunflower
🌼 blossom
🌽 corn
🌾 ear_of_rice
🌿 herb
🍀 four_leaf_clover
🍁 maple_leaf
🍂 fallen_leaf
🍃 leaves
🍄 mushroom
🍅 tomato
🍆 eggplant
🍇 grapes
🍈 melon
🍉 watermelon
🍊 tangerine
🍋 lemon
🍌 banana
